"ID_Caso","Moradia_regular","Moradia_Irregular","Moradia_Emergencial","Moradia_regular_esp","Moradia_Irregular_esp","Moradia_Emergencial_esp","Territorio","Comunidade_tradicional","Comunidade_tradicional_esp","titulado_Incra","Reconhecido_funai","Reconhecido_fund_palmares","Reconhecido_orgao_publico","Estrutura_Mat_predominante","Estrutura_Mat_predominante_esp","Estrutura_Insta_eletricas_hidraulica","Estrutura_Insta_eletricas_hidraulica_esp","Estrutura_Risco_geologico","Estrutura_Risco_geologico_esp","Estrutura_paredes_revesti","Estrutura_Acesso_internet","Estrutura_Acesso_internet_esp","Estrutura_danos_eventos_naturais","Estrutura_danos_eventos_naturais_esp","Fatores_risco_ambiental_infra","Fatores_risco_ambiental_infra_esp","Conflitos_Urbanos_Criminalidade","Conflitos_Urbanos_Criminalidade_esp","Conflitos_fundiarios_Agrarios","Conflitos_fundiarios_Agrarios_esp","Fatores_risco_outros","Fatores_risco_outros_esp","RV_Mudanca_domicilio","RV_Mudanca_domicilio_esp","Tempo_Situacao_Rua","Sit_Rua_Risco_Violencia","Tem_Contato_Familiar","Frequenta_Instituicao_Acolhimento","Especifique_Instituicao_Acolhimento","Expectativas_Futuro","Nomes_Vinculos_Afetivos"
"33","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"24","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"30","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"5","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"74","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"83","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"31","True","Falso","Falso",,,," Urbano;",,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"50","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"47","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"44","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
